vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical
Computershare-Caboodle Technology Limited,981.0,computershare-caboodle technology limited,computershare-caboodle technology
Allianz Wa,971.0,allianz wa,allianz wa
Trending Technology Services Gmbh,961.0,trending technology services gmbh,trending technology services
"Godaddy.Com, Llc",923.0,"godaddy.com, llc",godaddy.com
Time Out Group,920.0,time out group,time out group
Raiffeisenbank Austria D.D.,920.0,raiffeisenbank austria d.d.,raiffeisenbank austria
Galop-Prijevoz D.O.O.,908.0,galop-prijevoz d.o.o.,galop-prijevoz
Lane Ip Limited,851.0,lane ip limited,lane ip
Urbani Eventi D.O.O.,851.0,urbani eventi d.o.o.,urbani eventi
Smashing Media Ag,850.0,smashing media ag,smashing media
Epignosis Llc,833.0,epignosis llc,epignosis
Croatia Airlines,832.0,croatia airlines,croatia airlines
Bb Football Scouting J.D.O.O.,823.0,bb football scouting j.d.o.o.,bb football scouting
Boe Croatia D.O.O.,814.0,boe croatia d.o.o.,boe croatia
Potomac D.O.O.,806.0,potomac d.o.o.,potomac
"President Hotel And Tower Co., Ltd",803.0,"president hotel and tower co., ltd",president hotel and tower
Friends Sports Club,797.0,friends sports club,friends sports club
The Cycle Gap Adyar,765.0,the cycle gap adyar,the cycle gap adyar
Apple - Amer,764.0,apple - amer,apple - amer
Klg - Kalra Legal Group,681.0,klg - kalra legal group,klg - kalra legal group
Kilgannon & Partners Llp,681.0,kilgannon & partners llp,kilgannon & partners
Uk Postbox Limited,670.0,uk postbox limited,uk postbox
Catering Iviä‡ D.O.O.,669.0,catering ivi d.o.o.,catering ivi
Blink Events,664.0,blink events,blink events
Grafo-Jan,662.0,grafo-jan,grafo-jan
Mesa Verde,662.0,mesa verde,mesa verde
Pixsy Inc,613.0,pixsy inc,pixsy
Dun & Bradstreet D.O.O.,610.0,dun & bradstreet d.o.o.,dun & bradstreet
Induslaw,596.0,induslaw,induslaw
Trans-Agram Obrt Za Dostavu,581.0,trans-agram obrt za dostavu,trans-agram obrt za dostavu
Landu Law Solicitors,568.0,landu law solicitors,landu law solicitors
Arena Center Zagreb D.O.O.,567.0,arena center zagreb d.o.o.,arena center zagreb
Obrt Za Ugostiteljstvo Mirakul,565.0,obrt za ugostiteljstvo mirakul,obrt za ugostiteljstvo mirakul
Oakberry Jr D.O.O.,535.0,oakberry jr d.o.o.,oakberry jr
Tau On-Line D.O.O.,534.0,tau on-line d.o.o.,tau on-line
Magic Mountain Saloon,524.0,magic mountain saloon,magic mountain saloon
Hotel Zonar,523.0,hotel zonar,hotel zonar
Roto Dinamic D.O.O.,512.0,roto dinamic d.o.o.,roto dinamic
Tm Forum,510.0,tm forum,tm forum
Marvie Hotel - Krupa D.O.O.,502.0,marvie hotel - krupa d.o.o.,marvie hotel - krupa
Merchandise Ltd,490.0,merchandise ltd,merchandise
Yellow Submarine D.O.O.,486.0,yellow submarine d.o.o.,yellow submarine
Streamlinereforms Inc,483.0,streamlinereforms inc,streamlinereforms
Make And Grow Ltd,483.0,make and grow ltd,make and grow
Obiteljski Hoteli D.O.O.,474.0,obiteljski hoteli d.o.o.,obiteljski hoteli
Rudan D.O.O.,473.0,rudan d.o.o.,rudan
Entrio Tehnologije D.O.O.,473.0,entrio tehnologije d.o.o.,entrio tehnologije
Vivat Fina Vina D.O.O.,467.0,vivat fina vina d.o.o.,vivat fina vina
"Figma, Inc.",460.0,"figma, inc.",figma
E-Disti D.O.O.,458.0,e-disti d.o.o.,e-disti
Greencell Express Private Limited,457.0,greencell express private limited,greencell express private
Edwardian Pastoria Hotels Ltd (The Londoner),433.0,edwardian pastoria hotels ltd (the londoner),edwardian pastoria hotels
Tiganda J.D.O.O.,432.0,tiganda j.d.o.o.,tiganda
"Franklin, Gringer & Cohen, P.C.",427.0,"franklin, gringer & cohen, p.c.","franklin, gringer & cohen"
Blitz - Cinestar D.O.O.,426.0,blitz - cinestar d.o.o.,blitz - cinestar
Lancefield Bus Service,412.0,lancefield bus service,lancefield bus service
Super Odrediå¡Te D.O.O.,378.0,super odredi te d.o.o.,super odredi te
Pmi Global Operations Center,378.0,pmi global operations center,pmi global operations center
Student Packers & Movers,371.0,student packers & movers,student packers & movers
Del Posto D.O.O.,364.0,del posto d.o.o.,del posto
Inicijativa Centar Za Edukaciju,358.0,inicijativa centar za edukaciju,inicijativa centar za edukaciju
Niva Transport J.D.O.O.,358.0,niva transport j.d.o.o.,niva transport
Doctor Anywhere Operations Pte Ltd,347.0,doctor anywhere operations pte ltd,doctor anywhere operations
Spar Hrvatska D.O.O.,341.0,spar hrvatska d.o.o.,spar hrvatska
Pepe'S Italian And Liquor,339.0,pepe's italian and liquor,pepe's italian and liquor
"Pluralsight, Llc",318.0,"pluralsight, llc",pluralsight
Maniax Melbourne Cbd,315.0,maniax melbourne cbd,maniax melbourne cbd
Dnsimple,312.0,dnsimple,dnsimple
Treci Posao D.O.O.,307.0,treci posao d.o.o.,treci posao
Gaucho Restaurants,302.0,gaucho restaurants,gaucho restaurants
Formswift,301.0,formswift,formswift
Safestore Ltd,287.0,safestore ltd,safestore
Split Tech City,284.0,split tech city,split tech city
National Securities Depository Limited(Nsdl),281.0,national securities depository limited(nsdl),national securities depository
Adamma Info Services Private Limited,273.0,adamma info services private limited,adamma info services private
The Riding House Cafe,265.0,the riding house cafe,the riding house cafe
Stillmark Zagreb D.O.O.,263.0,stillmark zagreb d.o.o.,stillmark zagreb
Lastpass Ireland Limited,263.0,lastpass ireland limited,lastpass ireland
Taste Of Health,259.0,taste of health,taste of health
Infodata,241.0,infodata,infodata
Amazon (Aus),233.0,amazon (aus),amazon
Regency Hampers Ltd,248.0,regency hampers ltd,regency hampers
Bella Operation A/S,241.0,bella operation a s,bella operation a s
The Plant Man,235.0,the plant man,the plant man
Media Promo Plus D.O.O.,226.0,media promo plus d.o.o.,media promo plus
Expert-Ing D.O.O.,225.0,expert-ing d.o.o.,expert-ing
Atlassian Pty Ltd,224.0,atlassian pty ltd,atlassian
Djs For U,220.0,djs for u,djs for u
Freepik Company,203.0,freepik company,freepik
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,199.0,nastavni zavod za javno zdravstvo dr. andrija tampar,nastavni zavod za javno zdravstvo dr. andrija tampar
Rishi Events And Entainment,198.0,rishi events and entainment,rishi events and entainment
Kosmaz Technologies Croatia,195.0,kosmaz technologies croatia,kosmaz technologies croatia
Dhl,191.0,dhl,dhl
Hotel Laguna D.D.,190.0,hotel laguna d.d.,hotel laguna
Bigshare Services Private Limited,188.0,bigshare services private limited,bigshare services private
Zettanet,183.0,zettanet,zettanet
Hahn Air,183.0,hahn air,hahn air
Vitality Works,182.0,vitality works,vitality works
Avoxi Inc,178.0,avoxi inc,avoxi
Zapier Inc.,167.0,zapier inc.,zapier
"Solarwinds, Inc",166.0,"solarwinds, inc",solarwinds
Xenon Savjetovanje D.O.O.,164.0,xenon savjetovanje d.o.o.,xenon savjetovanje
Floom Ltd,162.0,floom ltd,floom
Notino S.R.O.,161.0,notino s.r.o.,notino
"Paint&Wine, Vl. Stevo Dosen",159.0,"paint&wine, vl. stevo dosen","paint&wine, vl. stevo dosen"
Parcelforce Worldwide,155.0,parcelforce worldwide,parcelforce worldwide
Advena,154.0,advena,advena
Hrvatski Nezavisnici Izvoznici Softvera,154.0,hrvatski nezavisnici izvoznici softvera,hrvatski nezavisnici izvoznici softvera
Monile J.D.O.O.,152.0,monile j.d.o.o.,monile
Puzzle Promotion J.D.O.O.,143.0,puzzle promotion j.d.o.o.,puzzle promotion
ZagrebaäKi Holding D.O.O.,143.0,zagreba ki holding d.o.o.,zagreba ki holding
Event Ors,143.0,event ors,event ors
Sportkart D.O.O.,141.0,sportkart d.o.o.,sportkart
"Interaction Design Foundation, Inc",138.0,"interaction design foundation, inc",interaction design foundation
(Blank),137.0,(blank),
Escape Art D.O.O.,133.0,escape art d.o.o.,escape art
Fero-Term,131.0,fero-term,fero-term
Ustanova Za Zdravstvenu Skrb P.P.,131.0,ustanova za zdravstvenu skrb p.p.,ustanova za zdravstvenu skrb p.p
Vistaprint,130.0,vistaprint,vistaprint
Teb Poslovno Savjetovanje D.O.O.,129.0,teb poslovno savjetovanje d.o.o.,teb poslovno savjetovanje
Illunis D.O.O.,128.0,illunis d.o.o.,illunis
The Cook Kitchen,123.0,the cook kitchen,the cook kitchen
Australian Taxation Office (Ato),123.0,australian taxation office (ato),australian taxation office
Capitol Services,120.0,capitol services,capitol services
Bonus Opinio D.O.O.,120.0,bonus opinio d.o.o.,bonus opinio
Dhl Express (Uk) Ltd,119.0,dhl express (uk) ltd,dhl express
Kat'S Kitchen D.O.O.,119.0,kat's kitchen d.o.o.,kat's kitchen
Soho Kitchen Ltd,104.0,soho kitchen ltd,soho kitchen
Fortis Trade J.D.O.O.,95.0,fortis trade j.d.o.o.,fortis trade
Till Trade D.O.O.,93.0,till trade d.o.o.,till trade
Pret A Manger,92.0,pret a manger,pret a manger
Axil Coffee Roasters,89.0,axil coffee roasters,axil coffee roasters
Pepco Croatia D.O.O.,89.0,pepco croatia d.o.o.,pepco croatia
Lemia D.O.O.,88.0,lemia d.o.o.,lemia
Retriever Llc,88.0,retriever llc,retriever
Meluba Limited,88.0,meluba limited,meluba
London Waste Management,86.0,london waste management,london waste management
Hilton Garden Inn - Zagreb City Hotels D.O.O.,82.0,hilton garden inn - zagreb city hotels d.o.o.,hilton garden inn - zagreb city hotels
Lider Media D.O.O.,80.0,lider media d.o.o.,lider media
Uptime Robot Service Provider Ltd,78.0,uptime robot service provider ltd,uptime robot service provider
Mithras Consultants,77.0,mithras consultants,mithras consultants
6Sense Insights Inc,76.0,6sense insights inc,6sense insights
Ico,67.0,ico,ico
Sportska Udruga Split,66.0,sportska udruga split,sportska udruga split
Prezzee,64.0,prezzee,prezzee
Inet Telecoms Ltd.,63.0,inet telecoms ltd.,inet telecoms
Wolt Enterprises Oy,62.0,wolt enterprises oy,wolt enterprises oy
Platinum Office D.O.O.,62.0,platinum office d.o.o.,platinum office
Snappy Snaps,59.0,snappy snaps,snappy snaps
New Block D.O.O.,56.0,new block d.o.o.,new block
Cayman Islands Government,56.0,cayman islands government,cayman islands government
Officeworks,56.0,officeworks,officeworks
Click Send Pty Ltd,55.0,click send pty ltd,click send
Kall Kwik Centre 565,55.0,kall kwik centre 565,kall kwik centre 565
Shilton Hospitality Llp,55.0,shilton hospitality llp,shilton hospitality
Axosoft Gitkraken,54.0,axosoft gitkraken,axosoft gitkraken
Istra Wine,53.0,istra wine,istra wine
Gophr,52.0,gophr,gophr
Pan-Pek D.O.O.,50.0,pan-pek d.o.o.,pan-pek
Uber *Eats,50.0,uber eats,uber eats
Fedex Express Uk Transportation Ltd,47.0,fedex express uk transportation ltd,fedex express uk transportation
Garden City D.O.O.,45.0,garden city d.o.o.,garden city
Livingstone,41.0,livingstone,livingstone
Ekupi D.O.O.,40.0,ekupi d.o.o.,ekupi
Farmacia - Specijalizirana Prodavaonica D.O.O.,36.0,farmacia - specijalizirana prodavaonica d.o.o.,farmacia - specijalizirana prodavaonica
Cupcake Central (Life Is Sweet Bakery),35.0,cupcake central (life is sweet bakery),cupcake central
